index,input,name,qty,range_end,unit,comment
0,"""1 1/4 cups cooked and pureed fresh butternut squash, or 1 10-ounce package frozen squash, defrosted""",butternut squash,1 1/4,0,cup,"""cooked and pureed fresh"""
1,"""3/4 ounce simple syrup""",simple syrup,3/4,0,ounce,
2,"""2 sprigs mint, plus more for serving""",mint,2,0,sprigs,"""plus more for serving"""
3,"""2 ounces white rum""",rum,2,0,ounces,"""white"""
4,"""3/4 ounce fresh lime juice""",lime juice,3/4,0,ounce,"""fresh"""
5,"""Club soda (for serving)""",club soda,,0,,"""for serving"""
6,"""3 Tbsp. green peppercorns in brine or capers, drained, finely chopped""",green peppercorns,3,0,Tbsp,"""in brine or capers drained finely chopped"""
7,"""3 Tbsp. honey""",honey,3,0,Tbsp,
8,"""3 Tbsp. soy sauce or tamari""",soy sauce,3,0,Tbsp,"""or tamari"""
9,"""3 Tbsp. unseasoned rice vinegar""",rice vinegar,3,0,Tbsp,"""unseasoned"""
10,"""1 tsp. finely grated ginger (from one 2"" piece)""",ginger,1,0,tsp,"""finely grated from one 2"" piece"""
11,"""3/4 cup (1-1/2 sticks) butter""",butter,3/4,0,cup,"""1-1/2 sticks"""
12,"""1 pound uncooked shrimp, peeled, deveined""",shrimp,1,0,pound,"""uncooked peeled deveined"""
13,"""1 Tbsp. vegetable oil""",vegetable oil,1,0,Tbsp,
14,"""4 skinless, boneless chicken thighs""",chicken thighs,4,0,,"""skinless boneless"""
15,"""1 1/2 tsp. kosher salt, divided, plus more""",kosher salt,1 1/2,0,tsp,"""divided plus more"""
16,"""large of cut into florets""",broccoli,1,0,head,"""large head of cut into florets"""
17,"""5 cups fresh (or frozen, thawed) blueberries""",blueberries,5,0,cup,"""fresh (or frozen, thawed)"""
18,"""1/3 cup sugar""",sugar,1/3,0,cup,
19,"""1 tablespoon cornstarch""",cornstarch,1,0,Tbsp,
20,"""2/3 cup all-purpose flour""",all-purpose flour,2/3,0,cup,
21,"""1 cup fresh corn kernels""",corn kernels,1,0,cup,"""(from about 1 large ear)"""
22,"""10 tablespoons chilled unsalted butter, cut into pieces""",unsalted butter,10,0,Tbsp,"""chilled, cut into pieces"""
23,"""1 dried guajillo or New Mexico chile or""",guajillo,1,0,,"""dried, or New Mexico chile"""
24,"""Steamed rice (for serving)""",rice,,0,,"""steamed for serving"""
25,"""Sliced scallions, toasted sesame seeds, and hot sesame oil (for serving; optional)""",scallions,,0,,"""sliced toasted sesame seeds and hot sesame oil for serving; optional"""
26,"""1/3 cup crème fraîche""",crème fraîche,1/3,0,cup,
27,"""2/3 cup ketchup""",ketchup,2/3,0,cup,
28,"""1/4 cup Worcestershire sauce""",Worcestershire sauce,1/4,0,cup,
29,"""1 3/4 lbs ground chuck steak""",chuck steak,1 3/4 ,0,lbs,"""ground"""
30,"""2 large gherkins""",gherkins,2,0,,"""large"""
31,"""2 Tbsp. rice cooking wine or water""",rice cooking wine,2,0,Tbsp,"""or water"""
32,"""8 medium-sized good-quality Italian sausages, or good fat Cumberlands""",Italian sausages,8,0,,"""medium-sized good-quality , or good fat Cumberlands"""
33,"""Olive oil""",Olive oil,,0,,
34,"""1 pound, 2 ounces purple-sprouting broccoli or cima di rapa""",broccoli ,1,0,pound,"""purple-sprouting or cima di rapa"""
